team_code,date,start_h_et,end_h_et,log_mins,opponent,tm,opp,w,l,streak
DEN,2020-08-25,18:30,20:55,145.0,Utah Jazz,117,107,2,3,W 1
DEN,2020-08-30,20:30,22:55,145.0,Utah Jazz,119,107,3,3,W 2
DEN,2020-09-01,20:30,22:43,133.0,Utah Jazz,80,78,4,3,W 3
DEN,2020-09-03,21:00,23:13,133.0,Los Angeles Clippers,97,120,4,4,L 1
DEN,2020-09-05,21:00,23:22,142.0,Los Angeles Clippers,110,101,5,4,W 1
DEN,2020-09-07,21:00,23:24,144.0,Los Angeles Clippers,107,113,5,5,L 1
DEN,2020-09-09,21:00,23:43,163.0,Los Angeles Clippers,85,96,5,6,L 2
DEN,2020-09-11,18:30,20:59,149.0,Los Angeles Clippers,111,105,6,6,W 1
DEN,2020-09-13,13:00,15:27,147.0,Los Angeles Clippers,111,98,7,6,W 2
DEN,2020-09-15,21:00,23:17,137.0,Los Angeles Clippers,104,89,8,6,W 3
DEN,2020-09-18,21:00,23:31,151.0,Los Angeles Lakers,114,126,8,7,L 1
DEN,2020-09-20,19:30,22:05,155.0,Los Angeles Lakers,103,105,8,8,L 2
DEN,2020-09-22,21:00,23:34,154.0,Los Angeles Lakers,114,106,9,8,W 1
DEN,2020-09-24,21:00,23:31,151.0,Los Angeles Lakers,108,114,9,9,L 1
DEN,2020-09-26,21:00,23:32,152.0,Los Angeles Lakers,107,117,9,10,L 2
DEN,2021-05-22,22:30,00:38,128.0,Portland Trail Blazers,109,123,0,1,L 1
DEN,2021-05-24,22:00,00:32,152.0,Portland Trail Blazers,128,109,1,1,W 1
DEN,2021-05-27,22:30,00:58,148.0,Portland Trail Blazers,120,115,2,1,W 2
DEN,2021-05-29,16:00,18:15,135.0,Portland Trail Blazers,95,115,2,2,L 1
DEN,2021-06-01,21:00,00:03,183.0,Portland Trail Blazers,147,140,3,2,W 1
DEN,2021-06-03,20:00,22:18,138.0,Portland Trail Blazers,126,115,4,2,W 2
DEN,2021-06-07,22:00,00:06,126.0,Phoenix Suns,105,122,4,3,L 1
DEN,2021-06-09,21:30,23:45,135.0,Phoenix Suns,98,123,4,4,L 2
DEN,2021-06-11,22:00,00:10,130.0,Phoenix Suns,102,116,4,5,L 3
